h,w,n_cameras,violation_score,total_violations,lat,lon,addresses
42,52,2,50.76006306706531,97243.0,41.8535,-87.68565000000001,2115 S Western Ave | 2108 S Western Ave
42,57,1,39.262773722627735,5379.0,41.8523,-87.6631,1477 W. Cermak Rd
43,48,1,9.426770126091174,9719.0,41.8591,-87.7083,3314 W 16th St
44,50,1,122.35128144838936,520360.0,41.8604,-87.6987,2900 W Ogden  Ave
45,44,2,48.60697724535342,89462.0,41.86750000000001,-87.72524999999999,1110 S Pulaski Rd | 1117 S Pulaski Rd
45,50,2,93.72321616575482,397398.0,41.8665,-87.69905,2917 W Roosevelt Rd | 2912 W Roosevelt Rd
46,37,2,28.497238020351887,119519.0,41.873450000000005,-87.76464999999999,515 S Central Ave | 506 S Central Ave
46,58,1,1.565217391304348,180.0,41.87141,-87.6569,812 S Racine Ave
46,64,2,68.05590712182439,138268.0,41.8738,-87.62755,630 S State St | 629 S State St
47,35,1,60.12061141628851,251725.0,41.8772,-87.7704,5816 W Jackson Blvd
47,46,1,31.127281460134487,129614.0,41.8771,-87.7182,3655 W Jackson Blvd
47,48,1,23.34512195121951,95715.0,41.8766,-87.7061,324 S Kedzie Ave
47,49,1,24.32312515071136,100868.0,41.8772,-87.7029,3047 W Jackson Blvd
47,57,1,5.906614785992218,1518.0,41.8778,-87.6611,1341 W Jackson Blvd
47,61,2,13.977961432506888,1999.0,41.879329999999996,-87.64333500000001,147 S Desplaines St | 216 S Jefferson St
47,65,2,177.17045795795798,31003.0,41.878420000000006,-87.62431000000001,200 S Michigan Ave | 385 Michigan Ave
48,46,1,43.08696676879566,182818.0,41.88089,-87.7179,3646 W Madison St
48,57,1,68.05890669180019,288842.0,41.8832,-87.6641,115 N Ogden Ave
50,44,1,22.47041272998508,45188.0,41.8945,-87.7262,732 N Pulaski Rd
50,57,1,70.61672473867596,20267.0,41.891,-87.6646,1455 W Grand Ave
50,65,2,41.74699515200007,169973.0,41.890045,-87.6203,450 N Columbus Dr | 449 N Columbus Dr
50,66,2,190.2731887091929,73374.0,41.891200000000005,-87.6182,324 E Illinois St | 324 E Illinois St | 451 E Grand Ave
51,44,2,65.7676295489876,132824.0,41.895300000000006,-87.7277,4041 W Chicago Ave | 4040 W Chicago Ave
51,49,1,32.85031234983181,136723.0,41.89929,-87.7045,3100 W Augusta Blvd
51,63,1,135.98978644382544,146461.0,41.8988,-87.6313,901 N Clark St
51,64,2,20.799533896689923,18783.0,41.89666666666667,-87.62893333333334,19 E Chicago Ave | 19 E Chicago Ave | 14 W Chicago Ave
52,49,1,93.96445610687024,393899.0,41.9014,-87.7021,1111 N Humboldt Blvd
52,52,3,74.01902029866292,145362.0,41.903529999999996,-87.68663333333332,1226 S Western Ave | 1229 N Western Ave | 2329 W Division St
52,57,2,93.284440675131,108861.0,41.903400000000005,-87.66465,1444 W Division St | 1455 W Division St
53,44,2,64.32991923056485,215574.0,41.909845000000004,-87.72835,4042 W North Ave | 4053 W North Ave
54,44,1,25.97863623061165,88769.0,41.9134,-87.7266,1754 N Pulaski Rd
54,56,2,44.84885961150381,85996.0,41.91175,-87.66775,1635 N Ashland Ave | 1638 N Ashland Ave
54,63,1,26.64591439688716,6848.0,41.9122,-87.633,1635 N LaSalle
55,37,1,17.394512771996215,36772.0,41.9182,-87.7623,5440 W Grand Ave
55,63,1,39.064547206165706,40549.0,41.9159,-87.6344,1817 N Clark St
56,33,2,38.20983880658416,152206.0,41.9237,-87.78255,6247 W Fullerton Ave | 6250 W Fullerton Ave
56,37,2,40.446377335744415,80767.0,41.92400000000001,-87.76345,5509 W Fullerton Ave | 5446 W Fullerton Ave
56,39,1,83.3695652173913,11505.0,41.9242,-87.7534,5050 W Fullerton Ave
56,40,1,42.12170579779588,87908.0,41.9241,-87.748,4843 W Fullerton Ave
56,48,1,36.55406698564593,38199.0,41.92199,-87.707,2223 N Kedzie Blvd
56,51,1,99.3221110100091,109155.0,41.9249,-87.6941,2638 W Fullerton Ave
57,38,1,5.191666666666666,623.0,41.92859,-87.75641,2622 N. Laramie Ave
57,50,1,37.42567567567568,5539.0,41.9286,-87.6958,2716 W Logan Blvd
57,55,1,22.401995905834188,87547.0,41.9262,-87.6709,2448 Clybourn Ave
57,56,2,74.51605657991198,290680.0,41.92631,-87.66818,2443 N Ashland | 2432 N Ashland Ave
57,63,1,29.535055350553503,8004.0,41.9258,-87.6349,220 W Fullerton Ave
58,42,1,6.221374045801527,815.0,41.9317,-87.7379,4424 W Diversey Ave
58,44,2,45.70991243698116,18596.0,41.931250000000006,-87.72614999999999,3911 W Diversey Ave | 2711 N Pulaski
59,32,4,14.852338093975051,23757.0,41.937645,-87.787125,3115 N Narragansett Ave | 6514 W Belmont Ave | 6443 W Belmont Ave
59,41,1,12.804371002132196,48042.0,41.939,-87.7431,4620 W Belmont Ave
59,44,2,36.84438555670459,58123.0,41.939350000000005,-87.727,3230 N Milwaukee Ave | 4021 W Belmont Ave
59,45,2,12.830517820833368,23474.0,41.93915,-87.7227,3809 W Belmont Ave | 3810 W Belmont Ave
59,56,2,36.23380927843287,64331.0,41.93855,-87.66865,3111 N Ashland Ave | 3130 N Ashland Ave
60,24,3,147.69746989198134,405249.0,41.94473333333334,-87.8276,8043 W Addison St | 8006 W Addison St | 8020 W Forest Preserve Ave
61,29,1,32.44498051586565,7670.0,41.9454,-87.8002,6935 W Addison St | 6935 W Addison St
61,34,1,8.096296296296297,1093.0,41.9473,-87.7765,3665 N Austin Ave
61,42,1,29.53448275862069,17130.0,41.9466,-87.736,3601 N Milwaukee Ave
61,51,1,66.46821094135042,134864.0,41.9466,-87.6905,2549 W Addison St
61,52,2,119.82893289854326,211993.0,41.9458,-87.68825000000001,3534 N Western Ave | 3521 N Western Ave
62,33,1,54.16181988742965,230946.0,41.9531,-87.7828,6226 W Irving Park Rd
62,37,1,47.48301259206463,199856.0,41.9533,-87.7643,5454 W Irving Park
62,50,2,182.3050771928487,651162.0,41.95399999999999,-87.69640000000001,2705 W Irving Park Ave | 2712 W Irving Park Ave
62,51,1,65.57769304099142,68791.0,41.9539,-87.6913,2501 W Irving Park Rd
62,58,1,102.83190066857688,430660.0,41.9545,-87.6589,1142 W Irving Park Rd
63,36,1,11.70019249278152,48626.0,41.9557,-87.7669,4123 N Central Ave
63,56,1,41.70748299319728,6131.0,41.9568,-87.669,4118 N Ashland Ave
64,50,1,2.870096463022508,4463.0,41.9611,-87.697,2721 W Montrose Ave
64,52,2,38.25779660457128,160399.0,41.96235,-87.68875,4433 N Western Ave | 4436 N Western Ave
64,53,1,4.387545176536002,15782.0,41.9623,-87.6846,4432 N Lincoln Ave
64,58,2,7.067770632900233,23617.0,41.96275,-87.65575000000001,4429 N Broadway Ave | 4446 N Broadway Ave
65,37,2,52.574725163534254,222193.0,41.9685,-87.76395,5432 W Lawrence Ave | 5471 W Higgins Rd
65,39,1,166.6672845227062,179834.0,41.9679,-87.7523,4949 W Lawrence Ave
65,56,1,22.912587412587413,6553.0,41.9676,-87.6695,4716 N Ashland
66,40,1,200.45346062052505,755910.0,41.9701,-87.7477,4909 N Cicero Ave
66,44,1,65.8328530259366,274128.0,41.9743,-87.7282,5120 N Pulaski Rd
66,54,1,1.2777777777777777,138.0,41.974,-87.6793,5059 N Damen Ave
67,30,1,32.99270072992701,4520.0,41.9756,-87.7986,6824 W Foster Ave
67,34,1,34.83348498635123,38282.0,41.9758,-87.7786,6020 W Foster Ave
67,36,1,16.50735294117647,2245.0,41.98,-87.7683,5432 N Central Ave
67,43,1,133.1412213740458,558128.0,41.9755,-87.7317,4124 W Foster Ave
67,49,1,30.39698243878308,122895.0,41.9759,-87.7048,3034 W Foster Ave
68,31,1,39.76192946058092,76661.0,41.983,-87.7908,6510 W Bryn Mawr Ave
69,40,1,52.053818554587394,101557.0,41.9898,-87.7462,4707 W Peterson Ave
69,56,1,36.45890736342043,153492.0,41.9889,-87.6686,5885 N Ridge Ave
69,57,1,402.6560283687944,113549.0,41.9887,-87.6601,5857 N Broadway
70,32,1,113.51162790697674,29286.0,41.99,-87.7875,5941 N Nagle
70,40,2,45.24830265848671,88363.0,41.99105,-87.74690000000001,6125 N Cicero Ave | 4674 W Peterson Ave
70,48,1,65.17473378509196,269302.0,41.9903,-87.7095,3137 W Peterson Ave
70,50,1,159.84132841328417,43317.0,41.9906,-87.6962,2650 W Peterson Ave
70,58,1,72.75091575091575,19861.0,41.9938,-87.6554,6151 N Sheridan Rd
72,37,1,108.91575091575092,29734.0,42.0014,-87.7625,6616 N Central Ave
72,52,1,58.29737402413059,246423.0,42.0003,-87.6898,6523 N Western Ave
74,27,1,165.20825515947467,88056.0,42.0116,-87.8142,7508 W Touhy Ave
74,57,1,197.51041666666663,56883.0,42.0122,-87.663,7115 N Sheridan Rd
