h,w,lat,lon,n_cameras,addresses,violation_score,pred,preventative_score,enforcement_gap_score
40,48,41.84211,-87.7051,1,2718 S Kedzie Ave,2.709090909090909,2.4080389441720103,-4.4270838067165545,4.4270838067165545
30,45,41.79409,-87.72315,2,5433 S Pulaski Ave | 5428 S Pulaski S Rd,0.0,1.117586390195464,-4.150284178639759,4.150284178639759
51,64,41.89666666666667,-87.62893333333334,2,19 E Chicago Ave | 19 E Chicago Ave | 14 W Chicago Ave,20.799533896689923,2.3335127007528644,-2.7346260537548823,2.7346260537548823
50,65,41.890045,-87.6203,2,450 N Columbus Dr | 449 N Columbus Dr,41.74699515200007,3.0118849283677207,-2.692778463039843,2.692778463039843
47,61,41.87933,-87.64333500000001,2,147 S Desplaines St | 216 S Jefferson St,13.977961432506888,1.7638994437401876,-2.4964932347814908,2.4964932347814908
43,48,41.8591,-87.7083,1,3314 W 16th St,9.426770126091174,1.3171486319499937,-2.280768587915306,2.280768587915306
61,34,41.9473,-87.7765,1,3665 N Austin Ave,8.096296296296297,1.08760072298698,-2.081783875185642,2.081783875185642
54,63,41.9122,-87.633,1,1635 N LaSalle,26.64591439688716,1.843601006283786,-2.022914277935792,2.022914277935792
46,58,41.87141,-87.6569,1,812 S Racine Ave,1.565217391304348,0.3868287245812182,-1.9715152986438698,1.9715152986438698
56,40,41.9241,-87.748,1,4843 W Fullerton Ave,42.12170579779588,2.1455946158511416,-1.9289526004339477,1.9289526004339477
66,54,41.974,-87.6793,1,5059 N Damen Ave,1.2777777777777777,0.257966210021841,-1.777457879159567,1.777457879159567
64,58,41.96275,-87.65575000000001,2,4429 N Broadway Ave | 4446 N Broadway Ave,7.067770632900233,0.8176022291336482,-1.7614687906177422,1.7614687906177422
51,44,41.895300000000006,-87.7277,2,4041 W Chicago Ave | 4040 W Chicago Ave,65.7676295489876,2.2347106691263217,-1.6149332130649572,1.6149332130649572
53,44,41.909845,-87.72835,2,4042 W North Ave | 4053 W North Ave,64.32991923056485,2.1391450001340444,-1.5417120522073737,1.5417120522073737
47,57,41.8778,-87.6611,1,1341 W Jackson Blvd,5.906614785992218,0.607896985021455,-1.5230373664617292,1.5230373664617292
30,49,41.79316333333333,-87.70406666666668,3,3212 W 55th St | 3217 W 55th St | 5532 S Kedzie Ave,11.68974436784125,0.9196714407317302,-1.515989660780459,1.515989660780459
29,43,41.7859,-87.7301,1,4298 w 59th St,1.9859154929577465,0.2147868875581034,-1.420749421586264,1.420749421586264
67,36,41.98,-87.7683,1,5432 N Central Ave,16.50735294117647,1.0466684923320622,-1.419974295193846,1.419974295193846
57,38,41.92859,-87.75641,1,2622 N. Laramie Ave,5.191666666666666,0.487804078603066,-1.3820315632906306,1.3820315632906306
46,64,41.8738,-87.62755,2,630 S State St | 629 S State St,68.05590712182439,2.030673746941725,-1.3815978494587875,1.3815978494587875
65,56,41.9676,-87.6695,1,4716 N Ashland,22.912587412587413,1.2085479987362944,-1.3706459013437216,1.3706459013437216
13,61,41.70684,-87.6448,1,851 W 103rd St,22.093167701863354,1.1806608306429844,-1.3631305612981652,1.3631305612981652
21,44,41.74949,-87.7289,1,4350 W 79th St,9.314146341463417,0.6988532281854825,-1.3263355993284338,1.3263355993284338
64,53,41.9623,-87.6846,1,4432 N Lincoln Ave,4.387545176536002,0.3942398620378829,-1.3077615559201925,1.3077615559201925
45,44,41.86750000000001,-87.72524999999999,2,1110 S Pulaski Rd | 1117 S Pulaski Rd,48.60697724535342,1.6395953595966717,-1.2555909127463833,1.2555909127463833
