area_idx,area_name,n_cells,pred_total,true_total,name,lat,lon,pop,pct_white,pct_black,pct_hispanic,median_income,n_tracts,pct_minority,model,pred_per_1k,true_per_1k,income_valid
25,FULLER PARK,22,8.538275420309024,9,FULLER PARK,41.80910639060064,-87.63237358138964,2142,0.0,89.6875816993464,5.852941176470588,16602.49019607843,2,100.0,lgbm,3.986122978669012,4.201680672268908,True
12,BURNSIDE,18,8.717697199350233,8,BURNSIDE,41.72820082779285,-87.59649096682655,2246,0.0,95.1,4.9,45855.0,1,100.0,lgbm,3.881432412889685,3.561887800534283,True
71,WEST GARFIELD PARK,36,42.56022447173943,51,WEST GARFIELD PARK,41.87875860449216,-87.72992819072599,16374,1.206498106754611,94.63867717112495,4.279455233907414,-38196441.03914743,10,98.7935018932454,lgbm,2.5992564108794083,3.11469402711616,False
6,AVALON PARK,21,24.77192205530448,11,AVALON PARK,41.74383984087672,-87.58540266946656,9647,0.5129884938322795,99.48701150616772,3.646594796309733,52620.33461179641,2,99.48701150616772,lgbm,2.5678368462013554,1.1402508551881414,True
19,EAST GARFIELD PARK,35,31.75378305133035,25,EAST GARFIELD PARK,41.87749701597656,-87.70595880351824,19901,0.7931812471735089,92.23990251746145,4.982890307019748,33277.9295010301,12,99.20681875282648,lgbm,1.5955873097497788,1.2562182804884177,True
68,WASHINGTON PARK,23,19.72751581290499,27,WASHINGTON PARK,41.791005593279024,-87.6197759972257,12366,0.0,98.6224567362122,1.1108765971211387,35156.86907650008,6,100.0,lgbm,1.5953029122517377,2.1834061135371177,True
41,LOOP,30,64.20686415653837,38,LOOP,41.87839039068414,-87.62495703549526,41671,3.9548462959852175,88.47941734059657,5.905517026229273,124935.56974874611,6,96.04515370401478,lgbm,1.5408044960893277,0.9119051618631664,True
29,GREATER GRAND CROSSING,29,38.94185032866922,32,GREATER GRAND CROSSING,41.762846214484746,-87.61721214930266,28991,0.6152806043254803,97.38603359663342,2.119154220275258,43580.90459107999,12,99.38471939567452,lgbm,1.3432392924931604,1.1037908316374048,True
55,OAKLAND,13,7.820494513363078,10,OAKLAND,41.82496501525909,-87.60515172978461,6977,1.843514404471836,96.23567435860686,3.059452486742153,26561.23204815824,3,98.15648559552815,lgbm,1.1208964473789709,1.4332807797047442,True
43,MCKINLEY PARK,31,16.92333802270405,14,MCKINLEY PARK,41.829259291486665,-87.67320826730264,15479,2.3627947541830867,44.99972866464242,32.92212029200853,69444.20246785968,5,97.63720524581692,lgbm,1.093309517585377,0.9044511919374636,True
