model,rank,tier,lat,lon,h,w,pred,true,intervention,cmf,expected_severity_reduction_pct
convlstm,45,HIGH,41.9025,-87.6225,52,65,0.9067291335668416,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,46,HIGH,41.9675,-87.64750000000001,65,60,0.900776593014598,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,47,HIGH,41.7175,-87.55250000000001,15,79,0.8925476614385843,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,48,HIGH,41.7925,-87.5875,30,72,0.8880295380949974,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,49,HIGH,41.8825,-87.6275,48,64,0.8866097556892782,4.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,50,HIGH,41.9225,-87.6425,56,61,0.8779067469295114,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,51,HIGH,41.7875,-87.5875,29,72,0.8694572485983372,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,52,HIGH,41.9275,-87.6425,57,61,0.8662472774740309,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,53,HIGH,41.7725,-87.6275,26,64,0.8642459511756897,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,54,HIGH,41.6575,-87.5575,3,78,0.8631794303655624,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,55,HIGH,41.8975,-87.64750000000001,51,60,0.8594384954776615,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,56,HIGH,41.7425,-87.5775,20,74,0.8555644974112511,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,57,HIGH,41.7875,-87.6275,29,64,0.8522348736878484,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,58,HIGH,41.8925,-87.64750000000001,50,60,0.8492865564767271,6.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,59,HIGH,41.9175,-87.6375,55,62,0.8449777942150831,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,60,HIGH,41.8225,-87.6075,36,68,0.8444276638329029,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,61,HIGH,41.7425,-87.6825,20,53,0.8437153231352568,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,62,HIGH,41.7925,-87.5825,30,73,0.8406473544891924,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,63,HIGH,41.8925,-87.6375,50,62,0.840304441517219,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,64,HIGH,41.8125,-87.5975,34,70,0.8392559234052896,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,65,HIGH,41.7875,-87.6825,29,53,0.8391983022447675,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,66,HIGH,41.7475,-87.7225,21,45,0.8383253440260887,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,67,HIGH,41.7825,-87.6275,28,64,0.8372171835508198,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,68,HIGH,41.6425,-87.6075,0,68,0.8350853752344847,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,69,HIGH,41.8225,-87.6025,36,69,0.8337066117674112,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,70,HIGH,41.7375,-87.5775,19,74,0.8306865897029638,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,71,HIGH,41.8075,-87.6275,33,64,0.8271091503556818,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,72,HIGH,41.7775,-87.6275,27,64,0.8256913886871189,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,73,HIGH,41.7775,-87.5775,27,74,0.8245145848486573,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,74,HIGH,41.7375,-87.64750000000001,19,60,0.8238926266785711,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,75,HIGH,41.8975,-87.6575,51,58,0.8237567469477654,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,76,HIGH,41.7925,-87.6525,30,59,0.8237140662968159,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,77,HIGH,41.9375,-87.8075,59,28,0.8234801513608545,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,78,HIGH,41.8925,-87.6175,50,66,0.8230828009545803,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,79,HIGH,41.7325,-87.5625,18,77,0.8230660224799067,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,80,HIGH,41.8825,-87.6375,48,62,0.821637055138126,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,81,HIGH,41.8325,-87.6875,38,52,0.8207160888705403,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,82,HIGH,41.7675,-87.6275,25,64,0.8203286584466696,4.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,83,HIGH,41.7075,-87.5625,13,77,0.8185763119254261,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,84,HIGH,41.9275,-87.7075,57,48,0.8177128450479358,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,85,HIGH,41.8075,-87.63250000000001,33,63,0.8175681475549936,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,86,HIGH,41.8675,-87.7375,45,42,0.8158678505569696,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,87,HIGH,41.9025,-87.6575,52,58,0.8152525667101145,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,88,HIGH,41.8925,-87.63250000000001,50,63,0.8121452238410711,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,89,HIGH,41.7525,-87.6875,22,52,0.8088903063908219,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,90,HIGH,41.9275,-87.6975,57,50,0.8082706136628985,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,91,HIGH,41.7925,-87.6825,30,53,0.8081817624624819,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,92,HIGH,41.7725,-87.6225,26,65,0.8080351671669632,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,93,HIGH,41.8825,-87.63250000000001,48,63,0.8073312155902386,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,94,HIGH,41.9025,-87.64750000000001,52,60,0.8070999330375344,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,95,HIGH,41.7025,-87.5425,12,81,0.8060228803660721,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,96,HIGH,41.7725,-87.6175,26,66,0.8053903896361589,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,97,HIGH,41.7225,-87.5575,16,78,0.8051014242228121,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,98,HIGH,41.8975,-87.63250000000001,51,63,0.804910188773647,4.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,99,HIGH,41.7425,-87.64750000000001,20,60,0.8044160269200802,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,100,HIGH,41.7375,-87.6425,19,61,0.8039807723835111,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,101,HIGH,41.8975,-87.6375,51,62,0.8037170358002186,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,102,HIGH,41.8925,-87.6575,50,58,0.8031234899535775,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,103,HIGH,41.7675,-87.6225,25,65,0.8030413743108511,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,104,HIGH,41.7875,-87.6725,29,55,0.8029686892405152,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,105,HIGH,41.9175,-87.66250000000001,55,57,0.8026847450528294,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,106,HIGH,41.8075,-87.6225,33,65,0.8024788135662675,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,107,HIGH,41.7125,-87.6425,14,61,0.8020542748272419,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,108,HIGH,41.8825,-87.7275,48,44,0.8006827458739281,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,109,HIGH,41.8075,-87.7425,33,41,0.8004628529306501,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,110,HIGH,41.7725,-87.63250000000001,26,63,0.7993688993155956,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,111,HIGH,41.7425,-87.7225,20,45,0.7988116042688489,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,112,HIGH,41.7775,-87.67750000000001,27,54,0.7986370862927288,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,113,HIGH,41.9075,-87.63250000000001,53,63,0.7982851716224104,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,114,HIGH,41.9225,-87.7075,56,48,0.7982323262840509,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,115,HIGH,41.9975,-87.8075,71,28,0.7972973985597491,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,116,HIGH,41.8975,-87.6275,51,64,0.7970919571816921,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,117,HIGH,41.8925,-87.6675,50,56,0.7968333025928587,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,118,HIGH,41.9975,-87.7775,71,34,0.7965389487799257,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,119,HIGH,41.8975,-87.66250000000001,51,57,0.7963710436597466,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,120,HIGH,41.7675,-87.63250000000001,25,63,0.7963679821696132,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,121,HIGH,41.7475,-87.7125,21,47,0.7956988119985908,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,122,HIGH,41.8775,-87.6225,47,65,0.7955669742077589,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,123,HIGH,41.8375,-87.6875,39,52,0.7954246038571,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,124,HIGH,41.7525,-87.5875,22,72,0.7948345486074686,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,125,HIGH,41.8975,-87.6525,51,59,0.7946866061538458,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,126,MONITOR,41.9225,-87.6875,56,52,0.7942786009516567,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,127,MONITOR,41.8025,-87.6175,32,66,0.7934873290359974,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,128,MONITOR,41.7775,-87.6825,27,53,0.7933625334408134,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,129,MONITOR,41.7925,-87.6225,30,65,0.7926756052765995,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,130,MONITOR,41.7375,-87.5725,19,75,0.791993698105216,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,131,MONITOR,41.6975,-87.6425,11,61,0.7919751442968845,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,132,MONITOR,41.7825,-87.63250000000001,28,63,0.7917565982788801,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,133,MONITOR,41.7425,-87.5875,20,72,0.791590224718675,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,134,MONITOR,41.8925,-87.6275,50,64,0.7913808638695627,5.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,135,MONITOR,41.9175,-87.6675,55,56,0.7904207687824965,4.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,136,MONITOR,41.8925,-87.6525,50,59,0.7901660948991776,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,137,MONITOR,41.7775,-87.63250000000001,27,63,0.7899740021675825,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,138,MONITOR,41.7275,-87.55250000000001,17,79,0.789755517616868,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,139,MONITOR,41.8075,-87.6175,33,66,0.7896878533065319,4.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,140,MONITOR,41.7875,-87.6425,29,61,0.7896058605983853,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,141,MONITOR,41.7925,-87.6425,30,61,0.7883319389075041,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,142,MONITOR,41.8925,-87.6425,50,61,0.7879291384015232,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,143,MONITOR,41.7425,-87.56750000000001,20,76,0.7876762403175235,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,144,MONITOR,41.8175,-87.6225,35,65,0.7876189248636365,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,145,MONITOR,41.8875,-87.7275,49,44,0.7876045962329954,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,146,MONITOR,41.7725,-87.67750000000001,26,54,0.7865585889667273,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,147,MONITOR,41.8175,-87.63250000000001,35,63,0.7864522247109562,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,148,MONITOR,41.9325,-87.6975,58,50,0.7861801600083709,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,149,MONITOR,41.7825,-87.6825,28,53,0.7859297113027424,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,150,MONITOR,41.8875,-87.6375,49,62,0.7857805436942726,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,151,MONITOR,41.7725,-87.6825,26,53,0.7857738081365824,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,152,MONITOR,41.9325,-87.63250000000001,58,63,0.785458879545331,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,153,MONITOR,41.7775,-87.6725,27,55,0.7842100635170937,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
