rank,tier,lat,lon,h,w,pred,true,intervention,cmf,expected_severity_reduction_pct
1,CRITICAL,41.8875,-87.6225,49,65,6.351268972067127,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
2,CRITICAL,41.8925,-87.63250000000001,50,63,5.112235405016421,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
3,CRITICAL,41.8775,-87.6275,47,64,4.794591731549842,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
4,CRITICAL,41.7525,-87.5875,22,72,4.488774456858299,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
5,CRITICAL,41.7675,-87.6225,25,65,3.876269030241275,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
6,CRITICAL,41.8825,-87.6275,48,64,3.799634972321301,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
7,CRITICAL,41.8875,-87.63250000000001,49,63,3.788305898692392,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
8,CRITICAL,41.8925,-87.6375,50,62,3.78470597890338,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
9,CRITICAL,41.7375,-87.5875,19,72,3.774403374830319,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
10,CRITICAL,41.8825,-87.6375,48,62,3.696150696584961,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
11,CRITICAL,41.8975,-87.6175,51,66,3.673575900441923,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
12,CRITICAL,41.8675,-87.6225,45,65,3.67202414446,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
13,CRITICAL,41.7575,-87.5875,23,72,3.626404079756857,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
14,CRITICAL,41.8675,-87.6425,45,61,3.437435301635434,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
15,CRITICAL,41.8875,-87.6275,49,64,3.301524371350405,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
16,CRITICAL,41.8675,-87.7225,45,45,3.298639672826307,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
17,CRITICAL,41.8825,-87.64750000000001,48,60,3.283882752213369,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
18,CRITICAL,41.7675,-87.6275,25,64,3.268436391425889,5,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
19,CRITICAL,41.7925,-87.63250000000001,30,63,3.264472706785553,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
20,CRITICAL,41.8825,-87.63250000000001,48,63,3.1562475197578896,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
21,CRITICAL,41.8925,-87.6225,50,65,3.0118849283677207,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
22,CRITICAL,41.8925,-87.6275,50,64,2.8974695918971483,5,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
23,CRITICAL,41.8775,-87.6675,47,56,2.748311562057184,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
24,CRITICAL,41.9325,-87.67750000000001,58,54,2.720718699538165,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
25,HIGH,41.8825,-87.6225,48,65,2.680009911723024,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
26,HIGH,41.7575,-87.6075,23,68,2.672027286552938,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
27,HIGH,41.8525,-87.63250000000001,42,63,2.6442909488714426,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
28,HIGH,41.8075,-87.6225,33,65,2.491285910704021,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
29,HIGH,41.8825,-87.6425,48,61,2.4785275401976024,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
30,HIGH,41.7825,-87.6175,28,66,2.4645514128253447,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
31,HIGH,41.9075,-87.7475,53,40,2.442847157969629,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
32,HIGH,41.8425,-87.7075,40,48,2.4080389441720103,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
33,HIGH,41.8825,-87.7475,48,40,2.3935086988072385,5,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
34,HIGH,41.7575,-87.6225,23,65,2.3746406971051752,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
35,HIGH,41.8775,-87.63250000000001,47,63,2.374135790457619,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
36,HIGH,41.8775,-87.6375,47,62,2.3429036479817427,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
37,HIGH,41.8825,-87.6675,48,56,2.342468836168301,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
38,HIGH,41.8975,-87.6275,51,64,2.3335127007528644,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
39,HIGH,41.8075,-87.6175,33,66,2.306574460141808,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
40,HIGH,41.8725,-87.7425,46,41,2.30341253699632,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
41,HIGH,42.0175,-87.67750000000001,75,54,2.2983832643053157,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
42,HIGH,41.8725,-87.7475,46,40,2.292800098801397,6,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
43,HIGH,41.8975,-87.7075,51,48,2.2708864831983955,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
44,HIGH,41.8725,-87.7225,46,45,2.2611938176823583,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
45,HIGH,41.7475,-87.5875,21,72,2.25356908411001,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
46,HIGH,41.8975,-87.6225,51,65,2.253004935422415,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
47,HIGH,41.7575,-87.6275,23,64,2.243945101592646,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
48,HIGH,41.8975,-87.7275,51,44,2.2347106691263217,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
49,HIGH,41.8775,-87.6225,47,65,2.227109218048881,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
50,HIGH,41.8675,-87.6375,45,62,2.223850510068616,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
51,HIGH,41.8725,-87.67750000000001,46,54,2.203257708115172,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
52,HIGH,41.9025,-87.6675,52,56,2.18164530861867,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
53,HIGH,41.8675,-87.7425,45,41,2.1770664467131944,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
54,HIGH,41.9475,-87.6575,61,58,2.1617114092268537,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
55,HIGH,41.8725,-87.7175,46,46,2.158329815744628,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
56,HIGH,41.8225,-87.6875,36,52,2.157807608924865,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
57,HIGH,41.7375,-87.6275,19,64,2.155898170214461,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
58,HIGH,41.8375,-87.6075,39,68,2.147034999504997,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
59,HIGH,41.8675,-87.6275,45,64,2.146120915704127,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
60,HIGH,41.9225,-87.7475,56,40,2.1455946158511416,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
61,HIGH,41.9075,-87.7275,53,44,2.1391450001340444,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
62,HIGH,41.8975,-87.7475,51,40,2.1327207582338787,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
63,HIGH,41.7125,-87.6425,14,61,2.0918067071889404,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
64,HIGH,41.7675,-87.6175,25,66,2.0879245374236173,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
65,HIGH,41.7225,-87.5775,16,74,2.081227219678311,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
66,HIGH,41.8725,-87.6275,46,64,2.030673746941725,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
67,HIGH,42.0125,-87.66250000000001,74,57,2.028377712291453,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
68,HIGH,41.7375,-87.6425,19,61,2.001172866257744,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
69,HIGH,41.7075,-87.6125,13,67,2.0007634262492813,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
70,HIGH,41.8925,-87.7475,50,40,1.999108612613694,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
71,HIGH,41.8825,-87.7225,48,45,1.989868959104256,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
72,HIGH,41.9125,-87.6275,54,64,1.985869587357572,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
73,HIGH,41.9875,-87.6575,69,58,1.9812643830724332,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
74,HIGH,41.7525,-87.66250000000001,22,57,1.9751182183913327,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
75,HIGH,41.8675,-87.7175,45,46,1.9585163595859507,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
76,HIGH,41.8925,-87.64750000000001,50,60,1.9462437187581825,6,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
77,HIGH,41.8825,-87.7275,48,44,1.9379439326029675,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
78,HIGH,41.8975,-87.6675,51,56,1.930712427493284,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
79,HIGH,41.9025,-87.66250000000001,52,57,1.907711331515032,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
80,HIGH,41.8775,-87.6875,47,52,1.904934848252512,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
81,HIGH,41.8525,-87.67750000000001,42,54,1.9029241999964184,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
82,HIGH,41.7575,-87.6425,23,61,1.8967617648531057,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
83,HIGH,41.8875,-87.64750000000001,49,60,1.892846058675609,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
84,HIGH,41.7775,-87.6425,27,61,1.8896793353764052,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
85,HIGH,41.8975,-87.67750000000001,51,54,1.8872874077202064,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
86,HIGH,41.7175,-87.6425,15,61,1.8828062294291703,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
87,HIGH,41.6625,-87.6425,4,61,1.8718156403766557,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
88,HIGH,41.8675,-87.6675,45,56,1.870256715913393,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
89,HIGH,41.8075,-87.6675,33,56,1.8634841688188135,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
90,HIGH,41.8825,-87.75750000000001,48,38,1.8485714118190733,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
91,HIGH,41.9025,-87.6225,52,65,1.8472990876567708,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
92,HIGH,41.8025,-87.6825,32,53,1.8447690009841784,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
93,HIGH,41.9975,-87.6875,71,52,1.8441841779487187,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
94,HIGH,41.9125,-87.63250000000001,54,63,1.843601006283786,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
95,HIGH,41.7775,-87.63250000000001,27,63,1.8423942699675355,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
96,HIGH,41.8775,-87.6175,47,66,1.842321153154508,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
97,HIGH,41.7375,-87.66250000000001,19,57,1.8329635013773395,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
98,HIGH,41.8575,-87.6675,43,56,1.826142205232614,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
99,HIGH,41.8825,-87.6525,48,59,1.814282793884436,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
100,HIGH,41.7725,-87.66250000000001,26,57,1.813838421299232,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
101,HIGH,41.8675,-87.6875,45,52,1.813281854109697,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
102,HIGH,41.9625,-87.7475,64,40,1.809993770098112,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
103,HIGH,41.8325,-87.67750000000001,38,54,1.8066892049650984,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
104,HIGH,41.8825,-87.6875,48,52,1.796638440527285,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
105,HIGH,41.8725,-87.7375,46,42,1.791133808761077,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
106,HIGH,41.8925,-87.6125,50,67,1.7904735675578567,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
107,HIGH,41.7525,-87.6725,22,55,1.7846038830823463,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
108,HIGH,41.8675,-87.6175,45,66,1.7817616191821768,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
109,HIGH,41.7225,-87.5875,16,72,1.7814806166941264,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
110,HIGH,41.7675,-87.6425,25,61,1.780060290373192,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
111,HIGH,41.7925,-87.6225,30,65,1.7786945354742785,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
112,HIGH,41.9375,-87.7475,59,40,1.7721797442747411,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
113,HIGH,41.7475,-87.7025,21,49,1.7718914209069383,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
114,HIGH,41.8675,-87.7375,45,42,1.7669849886599671,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
115,HIGH,41.8775,-87.6425,47,61,1.7638994437401876,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
116,HIGH,41.9975,-87.69250000000001,71,51,1.7596300682594253,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
117,HIGH,41.9475,-87.7125,61,47,1.7588904052378147,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
118,HIGH,41.9025,-87.6275,52,64,1.7543213378362676,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
119,HIGH,41.9225,-87.6975,56,50,1.7513041088127643,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
120,HIGH,41.9225,-87.7675,56,36,1.7379726345363498,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
121,HIGH,41.7525,-87.6425,22,61,1.7351940608015557,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
122,MONITOR,41.8825,-87.6175,48,66,1.7331648631923735,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
123,MONITOR,41.8875,-87.6425,49,61,1.7318350534493854,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
124,MONITOR,41.8825,-87.7425,48,41,1.7229983029022644,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
125,MONITOR,41.9175,-87.6675,55,56,1.719005209350911,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
126,MONITOR,41.8825,-87.7675,48,36,1.7188410191123935,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
127,MONITOR,41.7525,-87.6225,22,65,1.7173474352147204,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
128,MONITOR,41.8825,-87.7375,48,42,1.710030877749285,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
129,MONITOR,41.8675,-87.6975,45,50,1.6982942623773232,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
130,MONITOR,41.8825,-87.7625,48,37,1.693097463293692,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
131,MONITOR,41.8875,-87.7475,49,40,1.6901140841890716,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
132,MONITOR,41.9025,-87.63250000000001,52,63,1.6892759654636913,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
133,MONITOR,41.7675,-87.66250000000001,25,57,1.6888709036606342,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
134,MONITOR,41.7675,-87.5875,25,72,1.6881236701906002,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
135,MONITOR,41.7775,-87.7425,27,41,1.6807161687172012,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
136,MONITOR,41.8575,-87.6175,43,66,1.6738850382016996,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
137,MONITOR,41.9175,-87.7275,55,44,1.6578450289348377,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
138,MONITOR,41.9875,-87.66250000000001,69,57,1.6542944162763151,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
139,MONITOR,41.7775,-87.6525,27,59,1.6485595204701131,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
140,MONITOR,41.8525,-87.7225,42,45,1.6432480384051773,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
141,MONITOR,41.9175,-87.6875,55,52,1.641562372347121,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
142,MONITOR,41.8075,-87.6825,33,53,1.6407959312405516,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
143,MONITOR,41.7925,-87.5825,30,73,1.6407839815567318,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
144,MONITOR,41.8675,-87.7275,45,44,1.6395953595966717,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
145,MONITOR,41.8225,-87.6175,36,66,1.632375174799541,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
146,MONITOR,41.8875,-87.7425,49,41,1.6285701527423064,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
147,MONITOR,41.8775,-87.64750000000001,47,60,1.6254713524192834,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
148,MONITOR,41.7525,-87.6075,22,68,1.6216123872502135,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
149,MONITOR,41.7525,-87.6275,22,64,1.61519254968831,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
150,MONITOR,41.8675,-87.63250000000001,45,63,1.6127152450352344,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
151,MONITOR,41.9525,-87.7275,62,44,1.611468831384845,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
152,MONITOR,41.7225,-87.5825,16,73,1.6099183671315327,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
153,MONITOR,41.8525,-87.6225,42,65,1.6079835251148489,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
154,MONITOR,41.8775,-87.7475,47,40,1.6071847106131731,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
155,MONITOR,41.7425,-87.5775,20,74,1.596770666903605,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
156,MONITOR,41.9525,-87.67750000000001,62,54,1.596616840128667,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
157,MONITOR,41.8875,-87.6375,49,62,1.5921803452642902,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
158,MONITOR,41.9925,-87.6725,70,55,1.5890537322995342,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
159,MONITOR,42.0025,-87.66250000000001,72,57,1.5882137014412336,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
160,MONITOR,41.7575,-87.6175,23,66,1.5858425566279637,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
161,MONITOR,41.7775,-87.6075,27,68,1.5858094408667,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
162,MONITOR,42.0075,-87.66250000000001,73,57,1.5798450055126418,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
163,MONITOR,41.9925,-87.66250000000001,70,57,1.5734832963761152,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
164,MONITOR,41.7825,-87.6075,28,68,1.5643997902602105,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
165,MONITOR,41.8675,-87.64750000000001,45,60,1.5616349332225137,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
166,MONITOR,41.7425,-87.6075,20,68,1.5580786029342029,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
167,MONITOR,42.0125,-87.81750000000001,74,26,1.5506564202267767,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
168,MONITOR,41.7575,-87.66250000000001,23,57,1.5444218697714611,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
169,MONITOR,41.7675,-87.6825,25,53,1.542850619009624,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
170,MONITOR,41.8575,-87.6425,43,61,1.5416767409614829,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
171,MONITOR,41.9025,-87.7225,52,45,1.5407580327373331,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
172,MONITOR,41.7225,-87.6425,16,61,1.5403559801468816,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
173,MONITOR,41.8775,-87.7275,47,44,1.52948994371488,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
174,MONITOR,41.8725,-87.7275,46,44,1.527866358590145,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
175,MONITOR,41.8825,-87.7525,48,39,1.527579847568681,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
176,MONITOR,41.8075,-87.7425,33,41,1.5202041564329056,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
177,MONITOR,41.7725,-87.6175,26,66,1.5087616986232657,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
178,MONITOR,41.9075,-87.7325,53,43,1.5081352986787016,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
179,MONITOR,41.8875,-87.7375,49,42,1.5080545912391736,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
180,MONITOR,41.7425,-87.5875,20,72,1.5075548655893851,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
181,MONITOR,41.9925,-87.6975,70,50,1.5061718495806913,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
182,MONITOR,41.9775,-87.6675,67,56,1.5061663618655263,5,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
183,MONITOR,41.8075,-87.63250000000001,33,63,1.5014011527256004,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
184,MONITOR,41.8225,-87.6825,36,53,1.499622449194937,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
185,MONITOR,41.9425,-87.6375,60,62,1.4969810055132242,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
186,MONITOR,41.7775,-87.5775,27,74,1.4891003561581764,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
187,MONITOR,41.8775,-87.67750000000001,47,54,1.486352118042552,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
188,MONITOR,41.8875,-87.7275,49,44,1.4843295317992753,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
189,MONITOR,41.7725,-87.6125,26,67,1.479628200369021,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
190,MONITOR,41.9025,-87.6175,52,66,1.478056363597671,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
191,MONITOR,41.9925,-87.67750000000001,70,54,1.4774207454814512,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
192,MONITOR,41.8575,-87.66250000000001,43,57,1.472746647841532,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
193,MONITOR,41.7875,-87.6075,29,68,1.469265202110583,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
194,MONITOR,41.8275,-87.6025,37,69,1.4668693275319,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
195,MONITOR,41.8525,-87.6375,42,62,1.466566692475116,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
196,MONITOR,41.8725,-87.7525,46,39,1.4564848604608458,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
197,MONITOR,41.7375,-87.6725,19,55,1.446636845332875,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
198,MONITOR,41.8925,-87.7675,50,36,1.4465348535756704,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
199,MONITOR,41.9675,-87.6525,65,59,1.445292039284144,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
200,MONITOR,41.9025,-87.7475,52,40,1.4379758807500274,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
201,MONITOR,41.7375,-87.6825,19,53,1.4375259834632077,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
202,MONITOR,41.9675,-87.6575,65,58,1.4312575911240106,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
203,MONITOR,41.8875,-87.7675,49,36,1.430867631856937,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
204,MONITOR,41.7875,-87.6225,29,65,1.4290149145401203,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
205,MONITOR,41.9075,-87.7375,53,42,1.4275052304171676,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
206,MONITOR,41.7375,-87.6225,19,65,1.4235370438535535,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
207,MONITOR,41.7675,-87.6075,25,68,1.423100394604503,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
208,MONITOR,41.8725,-87.7075,46,48,1.4215697692891207,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
209,MONITOR,41.9075,-87.75750000000001,53,38,1.414582085251197,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
210,MONITOR,41.8875,-87.6175,49,66,1.41429278522612,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
211,MONITOR,41.7575,-87.6125,23,67,1.4069916518248546,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
212,MONITOR,41.7725,-87.6075,26,68,1.405179485236418,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
213,MONITOR,41.7425,-87.6025,20,69,1.4039774853646827,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
214,MONITOR,41.8725,-87.7125,46,47,1.401694098179256,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
215,MONITOR,41.8775,-87.7375,47,42,1.3991244127863456,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
216,MONITOR,41.7925,-87.6825,30,53,1.3975476305955985,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
217,MONITOR,41.8975,-87.7125,51,47,1.394368026744009,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
218,MONITOR,41.9975,-87.67750000000001,71,54,1.393239945662644,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
219,MONITOR,41.7925,-87.66250000000001,30,57,1.3906590659396325,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
220,MONITOR,41.9375,-87.7675,59,36,1.3840598598649452,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
221,MONITOR,41.8175,-87.7225,35,45,1.383903103295898,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
222,MONITOR,41.8975,-87.63250000000001,51,63,1.3827342532694584,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
