h,w,n_cameras,violation_score,total_violations,lat,lon,addresses,pred,true,log_violation_score,high_violations,low_severe,is_preventative,is_enforcement_gap,z_viol,z_pred,preventative_score,enforcement_gap_score
27,66,1,34.66684018740239,66595.0,41.7793,-87.6161,6330 S Dr Martin Luther King Jr Dr,0.637858653902312,2,3.574221410849319,False,False,False,True,-0.14490527340868622,-0.069663665414407,-0.07524160799427923,0.07524160799427923
28,45,2,72.9591926009249,9223.0,41.78033,-87.722785,6198 S Pulaski Rd | 6201 S Pulaski Rd,0.3854184093025105,0,4.303513489760106,False,False,False,True,0.5237149134402317,-0.5897510467185982,1.11346596015883,-1.11346596015883
28,66,1,124.70050476724622,222341.0,41.78,-87.6198,215 E 63rd St,2.4645514128253447,3,4.833902131238467,True,False,False,False,1.009979008201073,2.258145054246437,-1.248166046045364,1.248166046045364
29,43,1,1.9859154929577465,282.0,41.7859,-87.7301,4298 w 59th St,0.2147868875581034,1,1.093906397630697,False,True,False,False,-2.4188757929558746,-0.9981263713696106,-1.420749421586264,1.420749421586264
30,45,2,0.0,0.0,41.79409,-87.72315,5433 S Pulaski Ave | 5428 S Pulaski S Rd,1.117586390195464,0,0.0,False,False,False,True,-3.4217769914323983,0.7285071872073604,-4.150284178639759,4.150284178639759
30,47,1,18.16491228070176,5177.0,41.7935,-87.7121,3510 W 55th St,0.4046309963373625,0,2.953081121765,False,False,False,True,-0.7143711268802035,-0.546958895401975,-0.1674122314782286,0.1674122314782286
30,49,3,11.68974436784125,17503.0,41.79316333333333,-87.70406666666668,3212 W 55th St | 3217 W 55th St | 5532 S Kedzie Ave,0.9196714407317302,1,2.5407941371452436,False,False,False,True,-1.0923587791025442,0.42363088167791485,-1.515989660780459,1.515989660780459
30,52,1,18.05187319884726,75168.0,41.7937,-87.6872,2513 W 55th St,0.1821812012431675,1,2.947165427386719,False,True,False,False,-0.71979467773853,-1.0826622721730654,0.3628675944345354,-0.3628675944345354
30,53,2,66.9535676016369,284161.0,41.792645,-87.68405,5529 S Western Ave | 5520 S Western Ave,1.3975476305955985,1,4.218824642554249,False,False,False,True,0.44607157343937776,1.1143123735913225,-0.6682408001519448,0.6682408001519448
30,58,2,109.07976764396356,462849.0,41.793895,-87.6583,1334 W Garfield Blvd | 1315 W Garfield Blvd,0.359723130435452,0,4.701205263390324,True,False,False,False,0.888321571982373,-0.6479191067070884,1.5362406786894613,-1.5362406786894613
30,67,1,146.1113216485078,616882.0,41.7935,-87.6119,536 E Morgan Dr,0.3578309022775877,0,4.991189590305156,True,False,False,False,1.1541812740850352,-0.6522460249065768,1.8064272989916121,-1.8064272989916121
31,68,1,52.1112160566706,220691.0,41.7977,-87.6064,5330 S Cottage Grove Ave,0.166864101744555,1,3.9723881311157014,False,True,False,False,0.22013681960175482,-1.1231827537222896,1.3433195733240444,-1.3433195733240444
32,45,3,118.36413665385726,239382.0,41.80276666666666,-87.7226,4925 S Archer Ave | 4929 S Pulaski Rd | 5030 S Pulaski Rd,1.0747087178780792,1,4.7821787928074695,True,False,False,False,0.9625586820982109,0.6649480782118943,0.29761060388631666,-0.29761060388631666
32,52,2,5.835615340018997,8200.0,41.801100000000005,-87.686,2445 W 51st St | 2440 W 51st St,0.1699336834071717,1,1.922146493924531,False,True,False,False,-1.6595393570428068,-1.1150199075759948,-0.544519449466812,0.544519449466812
32,53,1,79.02896341463415,103686.0,41.8028,-87.6837,5006 S Western Blvd,1.8447690009841784,2,4.382388611835171,False,False,False,True,0.5960281887171627,1.6457343431965015,-1.0497061544793387,1.0497061544793387
33,43,2,22.430104858533063,26629.0,41.8077,-87.73095,4246 W 47th St | 4319 W 47th St,0.2524397556498666,0,3.154021727905894,False,True,False,False,-0.5301473439699073,-0.9032832064177079,0.3731358624478006,-0.3731358624478006
33,50,1,6.913793103448276,802.0,41.8083,-87.6986,2948 W 47th St,0.2169648848396476,0,2.0686071995141257,False,True,False,False,-1.5252631360757634,-0.9925606493694524,-0.5327024867063109,0.5327024867063109
33,61,1,19.10236220472441,2426.0,41.80899,-87.6416,614 W 47th Street,0.7272198791683797,0,3.000837330782893,False,False,False,True,-0.6705878933581436,0.09539538067193033,-0.7659832740300739,0.7659832740300739
35,61,1,21.602523659305994,20544.0,41.8189,-87.6425,655 W. Root St.,0.3618631288544859,0,3.1180615663849918,False,False,False,True,-0.5631158768945109,-0.6430328673200555,0.07991699042554457,-0.07991699042554457
36,54,1,18.488064287402505,78223.0,41.8232,-87.678,2080 W Pershing Rd,0.1861287278973204,1,2.9698021903419605,False,True,False,False,-0.6990411317801078,-1.0723044073407646,0.37326327556065675,-0.37326327556065675
37,52,1,109.61111111111111,21703.0,41.8278,-87.6851,3624 S Western Ave,0.6226825558654521,0,4.706020546168031,True,False,False,False,0.8927362576257024,-0.0985875665092254,0.9913238241349278,-0.9913238241349278
37,61,1,3.125,1425.0,41.8297,-87.6413,3536 S Wallace St,0.1996750685822208,0,1.4170660197866443,False,True,False,False,-2.122600743224577,-1.0370206166409641,-1.0855801265836127,1.0855801265836127
38,56,1,533.1162790697674,137544.0,41.8324,-87.6657,3358 S Ashland Ave,0.8592010196839085,0,6.280613566322852,True,False,False,False,2.336334384893593,0.324181718249717,2.012152666643876,-2.012152666643876
40,48,1,2.709090909090909,447.0,41.84211,-87.7051,2718 S Kedzie Ave,2.4080389441720103,1,1.3107868086117453,False,False,False,True,-2.2200382831194934,2.2070455235970616,-4.4270838067165545,4.4270838067165545
40,59,1,233.4028268551237,66053.0,41.8442,-87.653,2740 S Archer Ave,0.2649668743713808,0,5.457041117592269,True,False,False,False,1.581277281604768,-0.8723599865591253,2.4536372681638934,-2.4536372681638934
40,60,1,11.81487763508602,48760.0,41.8408,-87.6463,2928 S Halsted St,0.3128175172591454,0,2.550606811201271,False,False,False,True,-1.0833624494418306,-0.7569949046701381,-0.3263675447716925,0.3263675447716925
42,52,2,50.76006306706531,97243.0,41.8535,-87.68565000000001,2115 S Western Ave | 2108 S Western Ave,1.0012614141806044,3,3.9466188686437054,False,False,False,True,0.19651137571277422,0.552959126715632,-0.35644775100285775,0.35644775100285775
42,57,1,39.262773722627735,5379.0,41.8523,-87.6631,1477 W. Cermak Rd,0.4697663922528994,0,3.6954273130850677,False,False,False,True,-0.033782836536625456,-0.40611828368369235,0.3723354471470669,-0.3723354471470669
43,48,1,9.426770126091174,9719.0,41.8591,-87.7083,3314 W 16th St,1.3171486319499937,3,2.344376549538849,False,False,False,True,-1.2724358263151556,1.0083327616001505,-2.280768587915306,2.280768587915306
44,50,1,122.35128144838936,520360.0,41.8604,-87.6987,2900 W Ogden  Ave,0.491731477199479,0,4.815036231639598,True,False,False,False,0.9926826167008275,-0.36002764480127963,1.3527102615021072,-1.3527102615021072
45,44,2,48.60697724535342,89462.0,41.86750000000001,-87.72524999999999,1110 S Pulaski Rd | 1117 S Pulaski Rd,1.6395953595966717,1,3.9041314941069696,False,False,False,True,0.15755864727521862,1.413149560021602,-1.2555909127463833,1.2555909127463833
45,50,2,93.72321616575482,397398.0,41.8665,-87.69905,2917 W Roosevelt Rd | 2912 W Roosevelt Rd,1.6982942623773232,1,4.550959125011905,True,False,False,False,0.7505748391974202,1.4814873929627288,-0.7309125537653086,0.7309125537653086
46,37,2,28.497238020351887,119519.0,41.873450000000005,-87.76464999999999,515 S Central Ave | 506 S Central Ave,1.0355809743022166,0,3.384296632533797,False,False,False,True,-0.3190296666891156,0.6057907171203438,-0.9248203838094594,0.9248203838094594
46,58,1,1.565217391304348,180.0,41.87141,-87.6569,812 S Racine Ave,0.3868287245812182,0,0.9420432279765698,False,False,False,True,-2.5581050315638985,-0.5865897329200288,-1.9715152986438698,1.9715152986438698
46,64,2,68.05590712182439,138268.0,41.8738,-87.62755,630 S State St | 629 S State St,2.030673746941725,0,4.234916424665818,False,False,False,True,0.4608246342133806,1.842422483672168,-1.3815978494587875,1.3815978494587875
47,35,1,60.12061141628851,251725.0,41.8772,-87.7704,5816 W Jackson Blvd,0.7321430039275985,0,4.112849148346982,False,False,False,True,0.34891248342965725,0.10423896487252512,0.24467351855713212,-0.24467351855713212
47,46,1,31.127281460134487,129614.0,41.8771,-87.7182,3655 W Jackson Blvd,0.5434492494371171,1,3.469705558908013,False,False,False,True,-0.24072615296360922,-0.2541313921914333,0.013405239227824106,-0.013405239227824106
47,48,1,23.34512195121951,95715.0,41.8766,-87.7061,324 S Kedzie Ave,1.0228135964928071,0,3.192331498914355,False,False,False,True,-0.49502467228523395,0.5862413736820757,-1.0812660459673098,1.0812660459673098
47,49,1,24.32312515071136,100868.0,41.8772,-87.7029,3047 W Jackson Blvd,0.8531884432453066,0,3.2317180158330263,False,False,False,True,-0.45891483225951835,0.31411725169909205,-0.7730320839586104,0.7730320839586104
47,57,1,5.906614785992218,1518.0,41.8778,-87.6611,1341 W Jackson Blvd,0.607896985021455,0,1.9324796170142964,False,False,False,True,-1.6500658759907014,-0.12702850952897232,-1.5230373664617292,1.5230373664617292
47,61,2,13.977961432506888,1999.0,41.87933,-87.64333500000001,147 S Desplaines St | 216 S Jefferson St,1.7638994437401876,0,2.70657988288107,False,False,False,True,-0.9403652233020632,1.5561280114794276,-2.4964932347814908,2.4964932347814908
47,65,2,177.17045795795798,31003.0,41.878420000000006,-87.62431000000001,200 S Michigan Ave | 385 Michigan Ave,2.227109218048881,3,5.1827407210352705,True,False,False,False,1.3297967188752395,2.0375531041447728,-0.7077563852695332,0.7077563852695332
48,46,1,43.08696676879566,182818.0,41.88089,-87.7179,3646 W Madison St,1.3142403904281343,0,3.786164200650256,False,False,False,True,0.04940539006325079,1.0044306241090084,-0.9550252340457577,0.9550252340457577
