model,poisson_deviance,ece,total_true,total_pred,pai@50,hitrate@50,capture@50,pai@100,hitrate@100,capture@100,pai@200,hitrate@200,capture@200,pai@500,hitrate@500,capture@500
historical_avg,1.3021332214605918,0.0694235448023472,1243.0,1328.5546875,11.05872888173773,0.2,0.080450522928399,9.731681415929204,0.33,0.1415929203539823,8.376987127916331,0.315,0.243765084473049,6.292416733708769,0.476,0.4577634754625905
negbin_glm,0.8619145312222319,0.0705381370079926,1243.0,1400.385562277561,3.909895414320193,0.22,0.080450522928399,3.5971037811745776,0.27,0.1480289621882542,3.1670152855993567,0.35,0.2606596942880129,2.4397747385358004,0.488,0.50201126307321
lgbm_poisson,0.882997466668211,0.0880672412915089,1243.0,1394.6470051590363,4.105390185036203,0.26,0.0844730490748189,3.616653258246179,0.28,0.1488334674175382,3.176790024135157,0.345,0.2614641995172969,2.353757039420756,0.486,0.4843121480289621
convlstm,0.41101220762090473,0.019897358762734716,1213.0,1311.5036423962883,5.212827699917559,0.08,0.03792250618301731,5.72277823577906,0.16,0.0832646331409728,5.2978194558944764,0.205,0.15416323165704865,4.7708705688375925,0.352,0.34707337180544107
